2017-08-09 10:09:40.151 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:09:40.151 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:09:40.166 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:09:41.119 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:09:42.776 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:09:43.135 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:30:00.711 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:30:00.821 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:30:01.618 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:30:01.993 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:30:02.008 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:30:02.008 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:30:02.008 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:30:02.008 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:30:03.071 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:30:04.790 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:30:05.024 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:33:51.930 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
2017-08-09 10:33:51.946 | INFO  | [main] o.h.c.Environment:213 - HHH000206: hibernate.properties not found
2017-08-09 10:33:52.649 | INFO  | [main] o.h.a.c.Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-08-09 10:33:53.164 | WARN  | [main] o.h.o.c.pooling:70 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-08-09 10:33:53.180 | INFO  | [main] o.h.o.c.pooling:126 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/dev?useSSL=true&serverTimezone=UTC]
2017-08-09 10:33:53.180 | INFO  | [main] o.h.o.c.pooling:135 - HHH10001001: Connection properties: {user=root, password=****}
2017-08-09 10:33:53.180 | INFO  | [main] o.h.o.c.pooling:140 - HHH10001003: Autocommit mode: false
2017-08-09 10:33:53.180 | INFO  | [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl:41 - HHH000115: Hibernate connection pool size: 20 (min=1)
2017-08-09 10:33:54.008 | INFO  | [main] o.h.d.Dialect:157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-08-09 10:33:55.618 | INFO  | [main] o.h.o.c.access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@32cb636e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-08-09 10:33:55.883 | INFO  | [main] o.h.h.i.QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-08-09 10:34:38.902 | INFO  | [main] o.h.Version:45 - HHH000412: Hibernate Core {5.2.10.Final}
